Name,Price,Description,
Cable de cobre,750,"De 7 hilos N°10
De 100 metros
Marca Tigre, industria Boliviana",2023/05/15
Cable de cobre #6 de 7 hilos (metro),57,,2025/09/24
Cable de cobre 7 hilos #10 (Rollo 100 metros),1510,,2026/06/03
"Cable de cobre 7 hilos #12  marca Tigre, Blanco (Rollo 100 metros)",850,,2024/09/10
"Cable de cobre 7 hilos #12  marca Tigre, Negro (Rollo 100 metros)",850,,2024/09/10
"Cable de cobre 7 hilos #12  marca Tigre, Verde (Rollo 100 metros)",850,,2024/09/10
Cable de cobre 7 hilos #12 (Rollo 100 metros),898,,2026/06/03
Cable de cobre 7 hilos #14 (Rollo 100 metros),660,,2026/06/03
"Cable de cobre 7 hilos #14 marca Tigre, Blanco (Rollo 100 metros)",590,,2024/09/10
"Cable de cobre 7 hilos #14 marca Tigre, Negro (Rollo 100 metros)",590,,2024/09/10
Cable de cobre 7 hilos #8 (Rollo 100 metros),2400,,2026/06/03
Cable de cobre 7 hilos N° 12 Marca Tigre,585,,2024/05/16
Cable de cobre AWG de 7 hilos N°14 (rollo de 100mts),850,,2025/08/25
Cable de cobre AWG No. 6 de 7 hilos,56,,2025/09/02
Cable de cobre bajo goma 2*1.5mm (rollo de 100m),650,,2023/10/06
Cable de cobre bajo goma 2*2.5mm (rollo de 100m),950,,2023/10/06
Cable de cobre bajo goma 2*4mm (rollo de 100m),1500,,2023/10/06
Cable de cobre bipolar #20,250,,2023/03/15
"Cable de cobre cordón bipolar #10 Cablesol, industria nacional (rollo de 100 metros)",600,,2024/04/25
Cable de cobre desnudo de 35mm o No. 2 de 7 hilos (metro),116,,2025/09/24
Cable de cobre No. 12 de 7 hilos (rollo de 100 metros),1200,,2025/09/24
CABLE DE COBRE N°12,470,,2023/12/08
Cable de cobre N°12,470,,2023/12/14
"Cable de cobre N°14 de 7 Hilos TIGRE (Rollo de 100 metros), color rojo/azul/verde",850,,2026/03/09
Cable de cobre N°8 (rollo de 100 metros) color Azul,1350,,2024/03/25
Cable de cobre N°8 (rollo de 100 metros) color Negro,1350,,2024/03/25
Cable de cobre tipo alambre monopolar #10,680,,2023/03/15
"Cable de cobre, 7 hilos flexible AWG N°8 (rollo de 100 metros)",2198,,2025/07/03
"CABLE DE CU N°12, 7 HILOS C/NEGRO (ROLLO 100 METROS)",890,,2026/04/22
Cable de energía N°10 alambre TIGRE,1620,,2026/03/13
CABLE DE EXTENSIÓN 10M,120,,2025/05/14
Cable de impresora USB,25,,2023/08/29
Cable de poder,20,,2025/02/20
Cable de poder para PC,19,,2023/08/29
Cable de red UTP CAT6 marca Rowland,12,,2025/04/17
Cable de telefono de 4 hilos (rollo 100 metros),200,,2023/10/12
Cable de tierra N°14 AWG TIGRE,460,,2024/10/22
Cable desnudo 50mm2 - 1/0 (metro),152,,2025/11/21
Cable doble N°10 Coplas,1200,,2023/01/12
Cable doble N°12 Coplas,800,,2023/01/12
Cable Duplex de aluminio N°8 AWG (metro),8,,2024/02/01
Cable electricidad: numero 12 con cable de 7 hilos bipolar de cobre; presentación por rollo Plasmar,435,,2023/11/21
"Cable electrico de cobre, 7 hilos, No 12, marca TIGRE (rollo de 100 metros)",495,,2023/11/06
Cable electrico tipo cordón N°12,1095,Cable eléctrico tipo cordón N°12,2022/11/17
Cable eléctrico #12 AWG 7 hilos (rollo 100 metros),850,,2024/09/02
Cable eléctrico (#12) 7 hilos,445,Cable eléctrico (#12) 7 hilos 100 metros,2022/11/07
Cable eléctrico (#14) 7 hilos,295,Cable eléctrico (#14) 7 hilos,2022/11/04
Cable eléctrico (#16) 7 hilos,210,Cable eléctrico (#16) 7 hilos,2022/11/04
Cable eléctrico 7 hilos #12,490,Cable electrico 7 hilos #12 Marca Tigre,2022/11/17
Cable eléctrico de 7 hilos  N°12 (Rollo de 100M),986,,2026/01/27
Cable eléctrico de cobre N°12 rollo de 100 metros,510,,2024/03/25
"Cable eléctrico de cobre, 7 hilos, No 14, marca TIGRE (rollo de 100 metros)",385,,2023/11/06
"Cable eléctrico engomado bipolar de cobre 2x1.5mm, rollo de 100 metros",710,,2024/03/25
"Cable eléctrico engomado bipolar de cobre 2x2.5mm, rollo de 100 metros",1050,,2024/03/25
"Cable eléctrico engomado bipolar de cobre 2x4mm, rollo de 100 metros",1350,,2024/03/25
Cable eléctrico mellizo bicolor 2*12 (cobre) de 100m,980,,2023/05/10
Cable eléctrico N°10 7 hilos,,,2023/05/05
"Cable eléctrico N°12 de 7 hilos, cobre puro, rollo de 100 metros",480,,2023/07/26
"Cable eléctrico tipo alambre de 1 hilo, cobre puro, marca Tigre",430,,2023/07/28
CABLE ENCHAQUETADO 2*14,19,,2026/04/22
CABLE ENCHAQUETADO 4*8 (metro),156.8,,2026/04/22
Cable engomado 2*1.5mm,1380,,2025/09/18
Cable engomado flexible  2 x 4 mm2 (rollo 100 metros),1950,,2024/08/21
Cable engomado para exterior 2*1.5mm,850,,2023/05/10
"Cable flexible 1x4mm2, 750V, puro cobre",4.5,,2024/06/06
Cable HDMI,95,,2026/05/18
Cable HDMI 10 metros,95,,2025/02/25
Cable HDMI 10 metros,180,,2025/06/10
Cable HDMI 20 metros,195,,2023/08/29
Cable HDMI 5 metros,90,,2025/06/10
Cable HDMI 5MTS,120,,2025/08/27
Cable HDMI de 10 metros,180,,2025/06/05
Cable LAN (METRO),3,,2026/04/22
Cable LAN de internet 5Mts,25,,2024/06/26
Cable monopolar CU #10 7hilos 100 metros REVAIS Ind. Boliviana,750,Cable 100% Cobre  #10 - 7 hilos (marca REVAIS Ind. Boliviana),2022/11/11
Cable monopolar de 100M N°8 AWG 7 Hilos 100% cobre Tigre,1350,,2024/07/22
Cable monopolar de CU #10 multifilar COPLAS ind. Boliviana,470,,2022/11/11
CABLE MONOPOLAR DE CU.AWG #10-7HILOW x 100 MTR,2000,,2022/11/11
Cable monopolar N°7x10 de cobre marca Revais,1250,,2025/04/07
Cable monopolar tipo alambre #10,720,,2023/03/03
Cable multifilar Blanco 4mm2 (rollo de 100 metros),698,,2024/08/02
"CABLE MULTIFILAR DE COBRE 1,5MM",380,,2025/02/12
Cable multifilar flex 4mm azul,810,,2025/03/09
Cable multifilar Negro 2.5 mm2 (rollo de 100 metros),390,,2024/08/02
Cable multifilar Negro 4mm2 (rollo de 100 metros),698,,2024/08/02
Cable Multifilar N°18,160,Cable multifilar 1mm,2022/11/22
Cable multifilar Verde 4mm2 (rollo de 100 metros),698,,2024/08/02
Cable N° 12 - 7 Hilos (Puro Cobre),480,,2023/07/20
Cable N° 14 - 7 hilos (Puro Cobre),320,,2023/07/20
Cable N°10 de 7 hilos Tigre,690,,2023/05/08
Cable N°12 de 7 hilos,470,,2023/05/08
Cable N°12 de 7 hilos Tigre (rollo de 100 metros),720,,2024/10/07
Cable N°14 de 7 hilos,380,,2022/11/22
Cable para energía eléctrica N°12 AWG TIGRE,785,,2024/10/22
Cable pasa corriente bateria auto,160,,2023/03/15
Cable RJ11 para conexión de teléfono  Rollo 100Mts,190,,2022/12/08
Cable telefónico de 4 hilos de 100M,150,,2024/07/22
Cable Tigre No. 14,650,,2025/09/04
Cable tipo alambre 7 hilos N°12,490,,2023/02/15
Cable tipo alambre 7 hilos N°14,390,,2023/02/15
Cable tipo alambre de 7 hilos N°12,850,,2024/12/05
Cable UTP CAT 5  para internet (caja de 305mts),450,,2022/12/08
Cable UTP CAT 5E para exteriores,450,,2023/02/15
CABLE UTP CAT 6,4,,2024/10/24
Cable UTP CAT 6 ALEACIÓN CON ALUMINIO (METRO),3.5,,2024/03/20
Cable UTP CAT 6 cobre puro (caja 305mts),1850,,2026/05/18
Cable UTP CAT 6 de cobre (caja 305mts),1950,,2026/05/13
Cable UTP CAT 6 marca ASBELL cobre puro (caja de 305Mts),1850,,2024/09/18
CABLE UTP CAT 6 PARA EXTERIOR CON MENSAJERO DIMAX,1650,,2025/02/12
Cable UTP Cat 6 para exteriores,720,Cable UTP CAT 6 para exteriores,2022/11/17
Cable UTP Cat 6 para interiores,495,Cable UTP CAT6 para interiores caja de 305mts,2022/11/17
Cable UTP CAT 6 PURO COBRE (CAJA 305mts),1815,,2024/10/17
Cable UTP CAT 6 PURO COBRE (METRO),6.5,,2024/03/20
"Cable UTP CAT 6, 100% cobre, rollo de 305 metros, marca Rowland",1550,,2023/06/13
Cable UTP cat5 100% cobre 24awg para exterior,850,,2022/12/08
Cable UTP CAT5E,650,,2023/05/16
Cable UTP CAT5E para exterior con mensajero,820,,2023/05/10
Cable UTP CAT6 100% cobre (305mt),1480,,2025/03/09
Cable UTP CAT6 aleación de cobre (metro),6,,2026/01/19
Cable UTP CAT6 puro cobre (metro),11,,2026/01/19
Cable UTP CATEGORIA 6 de 305 M 100% cobre,1430,,2024/07/22
Cable UTP categoría 6 cobre puro (caja 305mts),2180,,2025/04/21
Cable VGA,28,,2023/08/29
"Cablecanal 15*10, Marca DIMAX - Industria BRASIL",10,,2023/08/22
Cablecanal 15x10,9,,2024/01/10
Cablecanal 20*10,8,,2023/11/01
Cablecanal 20*10,8,,2025/02/21
"Cablecanal 20*10mm, 2 metros",10,,2024/09/02
Cablecanal 20mm*10mm con adhesivo,10,,2024/06/17
Cablecanal 20x10 con adhesivo de 2Mts,12,,2025/07/07
Cablecanal 39x19 blanco con adhesivo de 2Mts,25,,2025/07/07
Cablecanal con adhesivo 20*10,8,,2023/03/15
Cablecanal con adhesivo 30 X 40,45,,2024/08/02
CABLECANAL DE 15X10,9,,2024/07/24
Cablecanal ranurado 60x40 mm,,,2026/02/06
Cableducto 10*10,8,,2025/05/14
Cableducto 10*10,8,,2025/05/22
Cableducto 10*10,10,,2025/06/10
Cableducto 10*20,9,,2024/10/22
Cableducto 100*50,89,,2025/05/14
Cableducto 15*10,7,,2025/09/04
Cableducto 15*25,25,,2025/02/18
Cableducto 15X10mm,8,,2024/07/09
Cableducto 15x10MMx2MTS,10,,2025/08/25
Cableducto 19*39,26,,2025/05/14
Cableducto 20*10,10,Cableducto plastico 20*10,2022/10/19
Cableducto 20*10,10,,2023/05/16
Cableducto 20*10,8,,2023/09/18
Cableducto 20*10,8,,2025/03/13
Cableducto 20*10,10,,2025/05/14
Cableducto 20*10,10,,2025/05/22
Cableducto 20*10,15,,2025/09/02
Cableducto 20*10mm,8,,2024/07/18
