Name,Price,Description,
Foco panel LED redondo 24W,85,,2024/11/29
Foco panel LED redondo 24W,85,,2025/05/29
Foco panel LED redondo de 24W,65,,2023/06/30
Foco para laringoscopio,65,,2024/06/18
Foco PL 26W,28,,2022/11/23
Foco PL 26W luz cálida,40,,2023/05/10
Foco recargable,165,,2025/06/01
Foco rosca LED 10w,12,,2026/01/26
Foco rosca LED 20w,22,,2026/01/26
FOCO SENSOR DE MOVIMIENTO DE 360°,80,,2023/09/22
Foco tipo botellon 28W,32,,2023/08/29
Foco tipo LED 22W,34,,2023/08/29
Foco tipo LED de 38 Watts,45,,2023/07/28
Foco tipo UFO 50W luz cálida,80,,2026/06/02
Foco tipo vela rosca nomal 40W 220V marca Moganshan(PRC),7,,2023/04/24
Foco Transparente LED 24W luz blanca,150,,2024/07/08
Foco ULIX LED 36W,38,,2022/12/08
Foco vela E12 Luz cálida LED,28,,2025/11/28
Foco vela incandescente E12 Luz cálida,15,,2025/11/28
Foco vela LED rosca E14,25,,2026/05/27
FOCOS AHORRADORES DE 12W,15,,2026/05/04
FOCOS DICROICOS LED DE 8 W.,20,,2023/08/31
FOCOS E-12 LED FILAMENTO VELA 7 W,20,,2023/07/20
Focos E-12 LED filamento vela 8W,25,,2023/09/20
"FOCOS LED 120 X 0,30 SOBREPUESTO BLANCAS",240,,2023/07/20
FOCOS LED 18W-150,20,,2024/12/06
Focos LED 22W redondos,31,Focos LED de 22W marca R-LED,2022/11/17
"Focos LED ampolla de 9W, luz blanca",10,,2024/06/20
"Focos LED botellón de 40W, luz blanca",38,,2024/06/20
Focos LED de 10W,15,,2025/07/28
Focos led de 12W,17,,2023/10/03
FOCOS LED DE 13 WTTS X 220 VOLT L/B,25,,2025/11/28
Focos LED de 15W,24,,2025/07/28
Focos LED de 18W,28,,2023/10/03
Focos LED de 50W IP:66 (colores),150,,2023/09/20
Focos LED de 7W para empotrar,30,,2023/06/09
"Focos LED, ahorradores de 25Watts, Luz Blanca, Bombilla, Marca Fideli",27,,2023/08/29
"Focos LED: Ahorradores de 25 Watts, Luz blanca, Bombilla, Marca Fideli",27,,2023/08/29
FOTOCELULAS P/LUMINARIA,75,,2024/12/06
FOTOCELULAS UNIVERSALES,75,,2024/12/06
Fotocélula electrónica MG,80,,2024/08/22
Fuente de 12V generico,80,,2025/02/28
Fuente de pantalla LED de 60W,65,,2023/11/01
Gabinete de 9U,720,,2023/05/12
Gafas de protección,35,,2024/06/26
Gargador de bateria recargable para bateria de 9V,165,,2024/05/24
Gata hidráulica de 5 toneladas,250,,2023/09/19
Grapa con clavo 8mm marca Arpasini,18,,2024/08/14
Grapa de 1' pulgada Marca Kawaguchi (Japón),15,,2023/04/24
Grapa para fijacion de Cables de 7 mm Redondo (bolsa 100U),20,,2026/05/13
GRAPA PARA TAPIZAR DE 1/2 CJA DE 1000 UNID,35,,2025/10/14
GRAPAS DE ACERO MED 8X11.3X0.7MM (1000PZA),65,,2025/10/20
"Grapas de pared 3/4"" (caja 100U)",18,,2026/05/08
Grapas lara cable (caja),15,,2023/10/27
Grapas sujeta vable color negro con clavo (bolsa 50U),17,,2024/10/11
Grifo,60,,2023/01/12
Grifo de 3/4,50,,2022/12/08
Grifo de lavamano,120,,2024/08/05
Grifo de lavamanos,90,,2023/06/09
Grifo de lavamanos,160,,2023/10/05
Grifo de Lavamanos Habitad,155,,2022/12/22
Grifo de Lavaplato con cuello de cisne de acero inoxidable,135,,2022/12/08
Grifo de lavaplatos con cuello de cisne de acero inoxidable,135,,2022/12/08
Grifo de lavaplatos cuello de cisne FV,140,,2024/07/05
Grifo de Lavaplatos Habitad,150,,2022/12/22
Grifo de urinario,210,,2024/01/10
Grifo eléctrico metálico Lorenzetti,1400,,2025/08/08
Grifo eléctrico plástico Lorenzetti,650,,2025/08/08
Grifo final Bronce,49,,2022/12/22
Grifo FV,250,,2025/10/04
Grifo FV tipo simple,80,,2024/09/02
"Grifo llave final para pila de 1/2""",75,,2023/06/09
Grifo para exterior,70,,2024/01/10
Grifo para lavamanos,90,,2024/08/21
Grifo para lavamanos FV,130,,2024/06/28
Grifo temporizador para Urinario,290,,2026/03/09
GRIFO TERMINALES DE PARED FV,115,,2026/03/09
Grifo; Diámetro 1/2 pulgada. Material Cromado. Tratamiento Cromado. Uso Lavaplatos.,90,,2023/07/20
"Grifos metalicos cromado para lavamanos, con temporizador de 1/2, con suspensión alto, industria argentina FV",,,2025/07/10
GRIFOS PARA LAVAMANOS,195,,2026/03/09
GRIFOS PARA LAVAPLATOS,210,,2026/03/09
Guantes de hilo (par),25,,2024/08/14
Guantes engomados,18,,2024/06/26
GUIRNALDA (CABLE EN TIRA CON SOQUET CON FOCOS) DE 10M,250,,2025/05/14
Guirnalda 10 mts,220,,2025/01/09
Guirnalda de 10 metros (con 20 soquets),260,,2025/05/24
Guirnalda de 10 metros (de 20 soquets),240,,2026/05/20
Guirnalda de 5 metros ( 10 soquets),170,,2025/09/08
Hilo de caña (rollo de 100 metros),50,,2026/05/20
Hoja de lija para fierro #100,13,,2024/08/14
Hoja de lija para metal,13,,2024/08/14
Hojas de sierra mecánica,18,,2025/03/10
Ignitor de 70 a 400W,55,,2024/02/01
Ignitor Universal 70-400W,65,Ignitor Universal 70-400W,2022/10/19
Instalación de Lampara Panel LED,150,Instalación eléctrica de Paneles LED,2022/11/09
Interruptor colgante,10,"Materila PVC
Marca Ultra, Industria Peruana",2023/05/15
Interruptor conmutador doble Argo negro,55,,2026/02/15
Interruptor conmutador simple,45,,2025/08/04
Interruptor conmutador simple ARGO negro,35,,2026/02/15
Interruptor de colgar,8,,2025/03/14
Interruptor diferencial 32A,190,,2025/02/25
Interruptor doble,20,,2024/12/27
Interruptor doble,28,,2024/12/30
Interruptor Doble,45,,2025/11/13
Interruptor doble,,,2026/02/06
Interruptor Doble Argo,45,,2026/02/15
Interruptor doble en placa,45,,2025/08/22
Interruptor doble Osmar,48,,2026/06/03
Interruptor Doble UYUSTOOLS,38,,2026/06/03
"Interruptor doble, Mr Three",38,,2024/08/21
Interruptor en placa,23,,2023/05/23
Interruptor en placa,23,,2023/12/14
Interruptor en placa,30,,2026/05/08
Interruptor en placa simple,25,,2025/07/22
Interruptor simple,25,,2024/07/02
Interruptor Simple,25,,2024/08/21
Interruptor simple,20,,2024/12/27
Interruptor Simple,28,,2025/02/18
Interruptor simple,30,,2025/05/29
Interruptor simple,35,,2025/08/04
Interruptor simple,35,,2025/10/13
Interruptor simple,35,,2025/11/13
Interruptor simple,,,2026/02/06
Interruptor Simple 10Amp blanco UYUSTOOLS,32,,2025/07/07
Interruptor simple 10Amp Mr Tree,25,,2023/10/27
Interruptor simple Beis,25,,2026/03/16
Interruptor Simple conmutador 4 vias,60,,2026/02/15
Interruptor simple de 25Amp Veto,28,,2025/03/27
Interruptor simple de pared,18,,2023/01/12
INTERRUPTOR SIMPLE DE PARED,19,,2024/07/24
Interruptor simple de pared,28,,2026/01/26
Interruptor simple empotrar SICA,35,,2026/03/09
Interruptor simple en placa,19,,2023/07/28
Interruptor simple en placa,25,,2024/10/24
Interruptor simple en placa,20,,2024/12/30
Interruptor simple en placa,35,,2025/08/11
Interruptor simple Marca Veto Vive,48,,2025/09/24
Interruptor simple Mr Three,22,,2023/10/05
Interruptor simple Mr Three color Negro Mate,32,,2024/09/10
Interruptor simple SICA,25,,2026/05/21
Interruptor simple sobrepuesto 10Amp,20,,2024/08/14
"Interruptor simple, Mr Three",25,,2024/08/21
Interruptor sobrepuesto,15,,2023/05/23
INTERRUPTOR T/PLACA DOBLE DE 10AMP,40,,2026/04/22
Interruptor termomagnetico 2*50A,50,,2023/03/15
Interruptor termomagnetico/térmico bipolar de 32,65,,2025/06/16
Interruptor termomagnetico/térmico bipolar de 40,65,,2025/06/16
Interruptor termomagnetico/térmico bipolar de 63,65,,2025/06/16
Interruptor triple en placa,35,,2024/12/30
Interruptores simples,17,,2023/10/03
Jabalina 2.4mtrs,125,,2025/11/21
"Jabalina de cobre 5/8"" x 0.60 metros",350,,2024/02/01
Jack Cat 6,25,,2026/05/18
"Jaladores de 4""",30,,2023/06/09
Japador de escritorio,10,,2022/12/22
"Juego de Alicates de 1000V, 3 piezas. Alicate universal, de corte y punta",218,,2023/09/20
"Juego de Alicates de 3 piezas ( fuerza, de corte u de pico de loro)",200,,2023/04/11
Juego de brocas de metal,,,2023/05/21
Juego de Brocas de Metal,110,,2023/05/23
"Juego de Brocas para concreto, madera y metal",120,,2026/03/27
JUEGO DE DESARMADOR (TRUPER),90,,2023/07/20
"Juego de desarmadores aislados de 1000V, 6 piezas",250,,2023/09/20
Juego de destornilladores de electrónica,260,,2025/03/13
Juego de herramientas para jardinería 3 pzas,140,,2026/03/09
Juego de tarrajas,,,2023/05/21
Juego de tarrajas,52,,2023/05/23
Juego lima de 4 unidades,1,,2023/11/01
Kilo microesferas de vidrio,60,,2023/05/21
Kit de brocas de concreto,1,,2023/11/01
"L para mueble 3""",7,,2024/01/12
Laca Internet simple OSMAR,65,,2026/06/03
Lamina de policarbonato 8mm,1250,,2024/08/21
"Lampara colgante blanco mate, con rosca normal E27 para foco",160,,2023/08/01
Lampara de emergencia LED,150,,2023/03/15
Lampara de Haluro de 250W,130,,2022/12/14
Lampara de Sodio de Alta Presión 250W,160,,2022/12/14
Lampara LED 18W,25,,2022/12/14
Lampara LED 9W,14,,2022/12/14
Lampara tipo campana negro con foco LED 9W,155,,2022/12/29
Lampara tipo LED- tubo LED de 12Watts de 60cm,18,,2023/07/28
LAMPARA TIPO SPOT ORIENTABLE COMPLETO DE 20W COLOR BLANCO,140,,2025/08/21
LAMPARA TIPO SPOT ORIENTABLE COMPLETO DE 20W COLOR BLANCO,155,,2025/09/01
"Lampara tubo fluorescente 18W, 60cm",18,,2024/09/02
LAMPARA(TUBO) FLORECENTES LED DE 20W        Modelo:LT8-20-W  ( E )                                                                                                                                       Entrada: 220vCA-50Hz                                                 Potencia: 20W,20,,2023/08/31
Lija #120 (metro),23,,2025/03/09
Lija 250 (metro),58,,2024/06/18
Lija de madera N°80 NORTON (metro),,,2025/07/10
Lija de tela N° 80 (metro),12,,2023/11/01
Lija de tela N°100,12,,2023/11/01
Lija para pared 120 (Mt),12,,2023/06/09
Linterna de minería Chalimex grande,590,,2025/10/18
Linterna de minería Chalimex mediana,495,,2025/10/18
Linterna Frontal LED,125,,2023/07/19
"Linterna LED recargable, tipo minero 80Lm",165,,2025/10/18
"Linterna LED recargable, tipo minero 90Lm",245,,2025/10/18
Linterna Recargable LED,,,2023/02/24
Llantitas de plástico para sillones,75,,2026/03/25
Llave de paso,40,,2023/01/12
Llave en cruz para automóvil,110,,2023/09/19
"Llave para amoladora de 9""",40,,2026/03/09
"Luminaria barra LED 1,20 metros",45,,2024/06/06
LUMINARIA DE CUATRO FOCOS (TIPO ARAÑA),600,,2023/07/20
Luminaria eléctrica tipo Farol para poste de 100W 220V,1550,,2024/11/26
Luminaria LED de 150W marca EVERLEO,580,,2023/10/03
Luminaria Publica 150W,1200,,2024/10/21
Luminaria publica 150W con brazo metálico,750,,2025/09/09
Luminaria publica LED de 100W IP65 220V con fotocélula,545,,2024/06/29
Luminaria publica silar recargable 150W,445,,2024/12/09
Luminaria pública 150W con brazo metálico,750,,2025/08/21
Luminaria pública con fotocelula de 150W luz blanca,950,,2025/07/10
Luminaria Pública de 100W con brazo y sensor,620,,2022/12/14
Luminaria Pública de 150W con fotocelula,650,,2023/01/12
Luminaria pública LED 50W,450,,2025/07/21
Luminarias públicas solar- recargable 150W,445,,2024/12/26
LUNINARIA LED 150W,700,,2024/12/06
Lámpara lineal LED 60W,130,,2026/05/04
Lámpara PL 26W,30,,2022/12/14
Malla preformada fin de linea N°8,12,,2024/02/01
Manilla desmagnetizadora antiestática,90,,2022/11/23
Marcador grueso indeleble permanente (azul o negro),8,,2024/06/26
Martillo 16Oz,180,,2023/11/01
Masa corrida Killen envase negro,150,,2024/06/18
Masa Plástica con catalizador brasilero (tarro),79,,2026/03/24
Masilla acrílica (Lt),45,,2023/06/09
"Maskin 2"" pulgadas",19,,2024/06/18
Membrana asfáltica,165,,2024/06/16
Metro Cable Bipolar Tigre #14,9,,2022/11/23
"Metro de cable bajo goma de cobre 2*10MM, (equivalente #8)",78,,2025/09/10
Mulitoma de 3 salidas redondo y plano,20,,2023/07/26
Multiherramienta giratoria DREMEL,2200,,2023/01/27
Máquina Industrial Recta JUKI DDL-8700,5600,,2023/02/13
Módulo interruptor,15,,2025/09/04
Módulo interruptor SICA,15,,2025/05/14
Módulo Jack RJ45 categoría 6,22,,2025/04/21
Módulo tomacorriente,15,,2025/09/04
"Niple PVC 1/2"" con rosca",5,,2023/06/09
Nylon de polietileno de baja densidad color negro (Metro),15,,2024/06/18
Pabtalla cuadra 60x60,180,,2024/01/10
Pala pequeña para arenero,70,,2026/03/09
Panel 18W sobrepuesto 20.5 cm luz blanca,55,,2026/05/12
Panel 60*60 p/empotrar,190,,2023/03/15
Panel circular de luz LED 24w,55,,2024/03/07
Panel cuadrado 60*60 p/sobreponer,180,,2023/03/02
Panel de 18W para empotrar Lentelux Brasilero,43,,2023/11/13
Panel de 18W para empotrar Lentelux Brasilero,40,,2024/06/12
Panel de 24W cuadrados,60,,2023/10/03
Panel de 24W para empotrar Lentelux Brasilero,20,,2024/06/12
Panel de sobreponer de 24W Lentelux Brasilero,55,,2024/06/12
Panel de sobreponer sin marco de 36W,87,,2023/11/13
Panel de sobreponer sin marco de 36W,70,,2024/06/12
Panel empotrable 18W luz cálida,50,,2024/11/20
Panel LED 120*30cm luz blanca sobrepuesto,325,,2026/03/24
"Panel LED 12W cuadrado, 220V, 50/60Hz, luz blanca, sobrepuesto",35,,2024/07/05
"Panel LED 12W cuadrado, 220V, 50/60Hz, luz blanca, sobrepuesto",35,,2024/07/08
Panel LED 12W para empotrar,32,,2022/12/29
Panel LED 18W,65,,2025/09/02
Panel LED 18W,85,,2025/11/13
Panel LED 18W circular de sobrepuesto luz blanca,60,,2024/10/15
Panel LED 18W luz blanca para empotrar,50,,2026/05/12
Panel LED 18W luz blanca para sobreponer,55,,2026/05/12
Panel LED 18W para empotrar,42,,2023/10/11
Panel LED 18W para empotrar luz calidad,40,,2022/12/29
Panel LED 18W redondo empotrable,55,,2026/02/06
Panel LED 18W sobrepuesto,55,,2024/12/11
Panel LED 18W sobrepuesto luz cálida,65,,2025/09/18
"Panel LED 18W, cuadrado, luz blanca, sobrepuesto",50,,2023/08/04
Panel LED 24 W empotrable,70,,2026/05/13
Panel LED 24W,65,,2024/08/29
Panel LED 24w,95,,2025/09/02
Panel LED 24W empotrable cuadrado,59,,2023/07/28
Panel LED 24w sobrepuesto,55,,2024/03/25
Panel LED 24W sobrepuesto,85,,2024/12/11
Panel LED 24W sobrepuesto,85,,2026/05/13
Panel LED 24W sobrepuesto,70,,2026/05/27
Panel LED 24W sobrepuesto luz cálida,85,,2025/09/18
Panel LED 28*28 cm 24W,65,,2025/03/09
Panel LED 30*30 para sobreponer,50,,2025/02/18
Panel LED 30x30 sobreponer,115,,2025/06/12
Panel LED 30x30 sobreponer,85,,2026/01/26
Panel LED 36W sobrepuesto,160,,2022/12/14
Panel LED 48W luz blanca para empotrar,165,,2026/05/12
Panel LED 48W luz blanca para empotrar (Estandar),150,,2026/05/12
Panel LED 60*30cm luz blanca sobrepuesto,275,,2026/03/24
Panel LED 60*60 48W p/empotrar Luz Blanca,180,,2023/03/13
Panel LED 60*60cm  sobrepuesto,220,,2026/04/06
Panel LED 60*60cm 60W luz blanca para empotrar,185,,2026/05/12
Panel LED 60*60cm empotrable,195,,2026/04/06
Panel LED 60*60cm sobrepuesto,350,,2025/07/30
Panel LED 60X60 60W,195,,2024/07/04
Panel LED 60x60 cm para empotrar luz blanca BRASILUM,270,,2025/10/27
Panel LED 60x60 de 60W sobrepuesto luz blanca,290,,2025/10/28
Panel LED 60x60 empotrable,230,,2025/04/08
Panel LED 60x60 para sobreponer,280,,2025/06/26
Panel LED 60x60 sobreponer,230,,2026/01/26
Panel LED 60x60 sobrepuesto,310,,2025/05/29
Panel LED 60x60cm,320,,2025/08/27
Panel LED circular de 36W sobrepuesto luz cálida de 23cm de diámetro,90,,2024/03/05
Panel LED circular para empotrar 18W,40,,2023/03/02
Panel LED circular para sobreponer 18W,45,,2023/03/02
Panel LED circular sin borde 18W,50,,2024/11/08
"Panel LED circular sobrepuesto de 24W, luz blanca",55,,2024/06/20
Panel LED circular son borde 24W,90,,2024/11/08
Panel LED cuadrado 24W,75,,2025/09/18
Panel LED cuadrado de sobreponer de 12 WATT,50,,2024/11/14
Panel LED cuadrado para empotrar 21.5*21.5cm de 18W Brasilian,60,,2026/03/13
Panel LED cuadrado sobrepuesto 60x60cm Mr Three,250,,2026/03/13
Panel LED de 18W de sobreponer,55,,2025/08/21
Panel LED de 24W tipo torta para sobreponer,75,,2023/10/03
"Panel LED de 24W, (28*28cm aprox)",55,,2024/06/18
Panel LED de 36W tipo torta para sobreponer,95,,2023/10/03
"Panel LED de 60*60cm, 60W, luz blanca 6500K, 165V-265V, marca LENTELUX IND. BRASILEÑA",200,,2024/01/09
PANEL LED DE 60X60 DE 220 VOLT 60 WTTS,260,,2025/11/28
Panel LED dicroico 7W,29,,2024/12/30
Panel LED empotrable 12W,35,,2024/12/30
Panel LED empotrable 24W luz cálida,60,,2024/11/20
Panel LED empotrable 7W,29,,2024/12/30
Panel LED empotrado 12W cálido,34,,2022/12/29
Panel LED empotrar 60W de 60x60cm,280,,2026/03/16
Panel LED Negro 12W sobrepuesto,65,,2026/06/08
Panel LED Negro 15W sobrepuesto,75,,2026/06/08
"Panel LED redonde 18W, 220V, 50/60Hz",60,,2024/09/02
Panel LED redondo 24W,75,,2025/09/18
"Panel LED redondo de 24W, luz blanca, para sobreponer",60,,2023/05/19
"Panel LED redondo empotrable de 18W, luz blanca",45,,2023/10/12
"Panel LED redondo para empotrar, luz cálida, de 12W",34,,2023/08/01
Panel LED Slim 30x60cm,230,,2025/08/27
Panel LED sobrepuesto 12 W,38,,2024/12/30
Panel LED sobrepuesto 120*60cm,350,,2024/08/21
Panel LED sobrepuesto 12W,45,,2025/08/11
Panel LED sobrepuesto 18W,55,,2024/11/19
Panel LED sobrepuesto 18W,60,,2025/08/11
Panel LED sobrepuesto 24W,55,,2022/11/07
"Panel LED sobrepuesto 60*60, 60W, luz blanca",160,,2024/06/04
Panel LED tipo torta sobrepuesto 36W redondo,185,,2025/08/21
"Panel LED, 18 Watts",85,,2025/11/27
"Panel LED, 24 Watts",105,,2025/11/27
Panel para sobreponer de 18W Lentelux Brasilero,45,,2023/11/13
Panel sobreponer de 18W Lentelux Brasilero de 26W,40,,2024/06/12
Panel sobrepuesto redondo blanco marca Mr Three,85,,2025/09/24
Paneles LED 60x60 48W,185,,2022/12/29
Paneles LED de 60x60,250,,2023/05/23
"Paneles LED rectangular s/p marco metálico inoxidable 1.20x0.30 M. de 72W Luz cálida/blanca, driver metálico",240,,2023/09/20
Paneles LED tipo torta,78,,2025/06/01
"Pantalla 20*20cm, sobrepuesto, marca G-Land",41,,2023/05/24
"Pantalla 60x60cm, sobrepuesto, Marca Mr. Tree, Industria Brasileña",160,,2023/05/24
Pantalla con rejilla 4*20 para tubo LED suelta,140,,2024/08/19
PANTALLA CUADRA DE 30X30 LUZ BLANCA,58,,2024/07/24
PANTALLA CUADRA DE 60X60 LUZ BLANCA,190,,2024/07/24
Pantalla cuadrada 24W,85,,2024/09/19
Pantalla cuadrada 24W,105,,2025/11/13
"Pantalla cuadrada 60*60, 60W",230,,2024/09/19
Pantalla incorporada de doble fila Luz blanca,90,,2026/03/16
Pantalla LED 24W sobrepuesto,100,,2023/02/01
Pantalla LED 60*60 empotrable,190,,2023/03/15
Pantalla LED 60*60 para sobreponer,260,,2025/02/18
"Pantalla LED 60W de 60*60cm cuadrada, luz blanca",195,,2023/10/27
Pantalla LED cuadrada 30*30 24W sobrepuesto,57,,2023/01/12
Pantalla LED cuadrada 60*60,195,,2023/01/12
"Pantalla LED cuadrada 60*60 - 48W Blanca, Marca LENTELUX - INDUSTRIA BRASIL",192,,2023/08/22
Pantalla LED de 24W,65,,2023/06/09
Pantalla LED de 40W,120,,2023/06/09
Pantalla LED empotrable 18W,45,,2023/03/15
Pantalla LED pequeño 30cm,35,,2025/04/08
Pantalla LED redonda 15cm 12W sobrepuesto,30,,2023/01/12
"Pantalla metalica empotrable 2*40 con rejilla (reactancia-ELT ESPAÑA),",150,,2023/04/24
PANTALLA REDONDA DE 18CM LUZ BLANCA PARA SOBREPONER,38,,2024/07/24
"Pantalla; dimensión 20x20 cm; material aluminio: recubrimiento acrílico; tratamiento fosfatizado; uso artefacto, tipo plafón: numero 2 tubos. Industria Brasilera",41,,2023/11/21
"Pantalla; dimensión 30x30 cm; material aluminio: recubrimiento acrílico; tratamiento fosfatizado; uso artefacto, tipo plafón: numero 2 tubos. Industria Brasilera",48,,2023/11/21
"Pantalla; dimensión 60x60 cm; material aluminio: recubrimiento acrílico; tratamiento fosfatizado; uso artefacto, tipo plafón: numero 2 tubos. Industria Brasilera",160,,2023/11/21
Pantallas 60*60 de sobreponer,26,,2024/09/18
Pantallas Led 24w cuadrada,85,,2025/10/13
Pantallas Led 60w (30x120cm),250,,2025/10/13
Pantallas Led 60w (60x60cm),280,,2025/10/13
Pantalma cuadrada 30x30cm,55,,2024/01/10
Paquete cinta aislante 3M (10 unidades),145,,2026/04/30
"Par Botas punta de Acero Bata, y/o workfade",,,2023/02/24
Par de guante de cuero para trabajos de electricidad,65,,2026/03/09
Par de guantes de cuero de trabajo (primera),35,,2023/03/30
Par de socalos aereos para instalación de tubos,8,,2023/04/25
Par de socalos fijos para instalación de focos,12,,2023/04/25
Pasacable de 10 metros,75,,2025/05/02
Pasta para soldar,1,,2023/11/01
Pasta termica MX4 (de primera),170,,2026/05/08
Patchcord 3 metros CAT 6,38,,2025/04/21
Patchcord de 0.5 metros CAT6,18,,2025/04/21
Pegamento La gotita,10,,2024/05/24
Pegamento para PVC,30,,2024/08/21
Pegamento PVC (Lt),65,,2023/06/09
Pelacable,170,,2022/12/14
Perfil costanera estructura metálico largo 70mm x 35mm de largo 3mts,20,,2023/04/11
Perfil de Aluminio (barra de 3 metros),68,,2026/02/18
Perfil de aluminio esquinero,70,,2026/04/16
"Perfil de Aluminio para cinta LED, barra de 3 metro, 15*10MM",68,,2026/03/16
"Perfil de Aluminio para cinta LED, barra de 3 metro, 20*10MM EMPOTRABLE",68,,2026/03/16
"Perfil de Aluminio para cinta LED, Empotrable de 3 metros",68,,2026/03/11
"Perfil de aluminio, material aluminio, barra de 2M, color bronce, perfil de canto",30,,2024/03/26
Perfil montante estructura metálico 69mm x 35mm de margo 3mts,20,,2023/04/11
"Perno 1/4 x 2"" (150 unidades)",230,,2024/12/09
"Perno carrocero 1"" (caja 100U)",110,,2025/03/10
"Perno hexagonal de 5/16"" x 1/2""",1.3,,2024/06/20
"Perno rosca entera de 2 1/2""",2,,2024/06/20
Perno y tuerca diametro 1/4  y lardo media pulgada,0.6,,2022/12/22
Picaporte 1/4 Dorado,10,,2022/12/22
Picaporte 10cm,20,,2023/06/09
"Picaporte 3""",20,,2024/01/12
Picaporte Colonial,32,,2022/12/22
Picaporte cromado pequeño,18,,2022/12/22
"Picaporte, medida 1.1/2, color dorado",12,,2024/03/26
Pila AA recargable con cable USB,32,,2026/05/13
Pila AAA recargable (paquete 4 pilas con cargador doble),185,,2026/01/27
Pila alcalina AA,12,,2025/04/07
Pila Alcalina AAA DURACELL,12,,2026/03/09
Pila CR2430,9,,2025/04/07
Pila recargable AAA,41,,2024/06/18
PILAS DOBLE (AA) (DURACELL),9,,2023/07/20
Pintura acrílica,590,,2023/06/09
Pintura al aceite color rojo 18 litros (balde),790,,2024/09/02
Pintura al aceite mate c/negro 5.3 (galón),180,,2023/06/09
Pintura anticorrosiva color blanco (galón 3.5L),480,,2025/06/20
Pintura anticorrosiva color caoba mate/guindo (balde 18L),1580,,2025/06/20
Pintura anticorrosiva color gris (balde 18L),1490,,2025/06/20
Pintura de 18 litros,150,,2023/04/11
Pintura en aerosol color negro 400ml,25,,2024/09/02
Pintura en spray,15,,2023/10/05
Pintura engomada Sinteplast/Recuplast  (balde 18 litros),480,,2024/06/18
Pintura engomada Sinteplast/Recuplast  (balde 18 litros),490,,2024/06/18
Pintura Latex blanca (balde 18L),680,,2025/06/20
Pintura para techo Recuplast (balde 18L),1050,,2025/06/20
Pintura sintética balde 18L rojo marca Monopol,495,,2024/08/14
Pintura tradicional de 18 litros para interior,410,,2023/06/09
Pinza amperimetrica,350,,2024/07/04
"Pinza metálica para pelar cable de calibre 22, 20, 18, 16, 14, 12, 10 y 8 AWG, con mecanismo automático y tope para dimensionar la cantidad de cable",190,,2023/09/20
PISTOLA PARA SOLDAR ESTAÑO 100W (UYUSTOOLS),100,,2023/07/20
Placa Conatel Grafito euroamericano con tierra,68,,2024/08/02
Placa Conatel Interruptor Simple,48,,2024/08/02
PLACA DE DOS TOMOS SOBREPUERTA,27,,2024/07/24
Placa de Drywall de largo 2.40 Metros Ancho 1.20metros espesor 10mm,40,,2023/04/11
Placa de Internet simple UYUSTOOLS,60,,2026/06/03
Placa de pared Tomacorriente doble Nema color Grafito marca MR THREE,50,,2025/07/07
Placa de pared tomacorriente doble nema Mr Three,45,,2025/05/22
Placa doble 16Amp,25,,2023/10/26
Placa doble interruptor/tomacorriente,34,,2024/10/15
Placa doble nema,35,,2025/02/28
Placa eléctrica tomacorriente doble tipo nema,,,2023/05/05
Placa enchufe doble,40,,2025/06/10
Placa enchufe Doble con tierra,35,,2024/10/22
Placa interruptor con conmutador,45,,2026/05/21
Placa Interruptor doble,45,,2025/08/11
Placa Interruptor doble,49,,2025/08/27
Placa interruptor doble,45,,2025/11/27
Placa interruptor doble 10A,45,,2025/05/26
Placa interruptor doble color café,25,,2023/11/06
Placa interruptor doble Osmar,25,Placa interruptor doble marca Osmar,2022/11/17
Placa interruptor doble SICA,45,,2025/11/12
Placa interruptor simple,18,,2023/06/09
Placa interruptor simple,30,,2025/03/14
Placa interruptor simple,35,,2025/11/27
Placa interruptor simple 10A,35,,2025/05/26
Placa interruptor simple Osmar,18,Placa interruptor simple marca Osmar,2022/11/17
Placa interruptor simple SICA,35,,2025/11/12
Placa interruptor triple tramontina blanco,34,,2022/12/29
Placa mixta,20,,2024/12/27
Placa mixta,28,,2024/12/30
Placa mixta (toma con interruptor),45,,2025/08/04
Placa shucko,35,,2024/12/27
Placa simple interruptor/tomacorriente SICA,28,,2024/10/15
Placa sobre puesto,35,Placa tomacorriente doble marca Osmar con caja sobrepuesta plástica,2023/03/13
Placa toma 2 puertos,28,,2024/01/10
Placa toma dos puertos nema material plástico y metal 16A,45,,2025/05/26
Placa tomacorriente doble,25,Placa electrica tomacorriente doble,2022/10/19
Placa tomacorriente doble,28,,2023/06/09
Placa tomacorriente doble,40,,2025/02/18
Placa tomacorriente doble,49,,2025/08/27
Placa tomacorriente doble blanco,35,,2024/11/25
Placa tomacorriente doble de pared de Aluminio,25,,2023/01/12
"Placa tomacorriente doble de pared de aluminio, Mrca UYUSTOOLS, Industria BRASIL",25,,2023/08/22
Placa tomacorriente doble marca Mr. Tree (Brasil),30,,2023/04/24
Placa tomacorriente doble SICA,35,,2026/05/21
Placa tomacorriente doble UYUSTOOLS,38,,2026/06/03
Placa tomacorriente nema doble,35,,2023/11/06
Placa tomacorriente simple,17,Placa electrica tomacorriente simple,2022/10/19
Placa tomacorriente tipo nema doble,35,,2023/07/28
Placa tomacorriente triple UYUSTOOLS+ caja sobrepuesta,75,,2025/07/07
PLACA TOMACORRIENTES DE 2 PUERTOS,29,,2024/07/24
